target,rmse,mae,r2,dir_acc
target_h1,0.008598555489189575,0.006227813631480524,0.00028351901854906103,0.503968253968254
target_h5,0.018104142052197535,0.013711256246236533,-0.050412056800130944,0.44841269841269843
target_h20,0.0354074714872059,0.028105473079900332,-0.12706045763961926,0.44047619047619047
