model,rmse,r2,dir_acc,sharpe,turnover
Hybrid,0.02861560968622715,-0.4545648450372535,0.5753968253968254,2.765,0.139
Ridge,0.03153556044412668,-0.7665591652363735,0.38095238095238093,-5.034,0.377
ESN,0.04156975393408918,-2.06960142402033,0.4246031746031746,-2.085,0.536
LSTM,0.029610455071282998,-0.5574612280513382,0.503968253968254,-0.199,0.226
TCN,0.029365824399045972,-0.531833189985143,0.5793650793650794,4.938,0.472
