Model,Sharpe,R²,RMSE,MAE,Dir_Acc,Hit_Ratio,Avg_PnL,Turnover
TCN,5.341,-0.49005802765074313,0.028962625815294643,0.023867354374585776,0.5793650793650794,0.579,0.00932334337074061,0.377
Hybrid_ESN_Ridge,1.587,-0.5228639893507476,0.029279718781970523,0.022537775401018603,0.5912698412698413,0.591,0.002908706046033078,0.155
LSTM,-0.199,-0.5574801278524475,0.029610626733172093,0.02267641042069038,0.503968253968254,0.504,-0.0003666634360699217,0.226
ESN,-2.085,-2.0695990949589347,0.04156972693380215,0.03288946554703937,0.4246031746031746,0.425,-0.003807689218268954,0.536
TRANSFORMER,-2.448,-0.9179169036992898,0.03285876497304678,0.025817829306758227,0.4523809523809524,0.452,-0.004455553585164799,0.591
RIDGE,-5.034,-0.7665629290545866,0.03153558551972582,0.025150345935938477,0.38095238095238093,0.381,-0.008836998665712414,0.377
