date,z_ret_1,z_ret_2,z_ret_5,z_vol_20,z_ma_10,z_ma_20,z_ma_gap,z_rsi_14,z_vol_z,z_dow,z_pca_1,z_pca_2,z_pca_3,z_pca_4,z_pca_5,z_pca_6,z_pca_7,z_pca_8,z_pca_9,z_pca_10,z_pca_11,z_pca_12,z_has_news,z_pca_1_large,z_pca_2_large,z_pca_3_large,z_pca_4_large,z_pca_5_large,z_pca_6_large,z_pca_7_large,z_pca_8_large,z_pca_9_large,z_pca_10_large,z_pca_11_large,z_pca_12_large,z_pca_13_large,z_pca_14_large,z_has_news_large,target_h1,target_h5,target_h20,Symbol
2008-01-14,0.6003944557914415,-0.13078818034135806,-0.3914497942610014,0.012287639379615684,-0.6313422797933473,-0.5916772101094188,-0.9628478992016947,-1.645780946473308,-0.49715644286638344,-1.4448209975349442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0222588509201742,-0.0776861174325311,-0.0455429392085857,SPY
2008-01-15,-1.768764648303885,-0.044454312234083755,-0.04345835668037575,0.10122016278394648,-0.6437209465952273,-0.5980426078117355,-1.6747853073573151,-2.2010192330477585,0.2798303500295734,-0.7295068690893529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0086497537506122,-0.0316908917007623,-0.0131133853296443,SPY
2008-01-16,-0.704301672193574,-0.8603680281267574,-0.27773575730555783,0.07026756378749505,-0.6559608663165392,-0.6037121706031232,-1.895860041961537,-2.3570604976598255,1.8112865241964813,-0.014192740643761682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0262583060623633,-0.0146343345377992,-0.0133019357258996,SPY
2008-01-17,-2.0815900966367895,-1.8216756045767755,-1.0264464794357115,0.20199509842531346,-0.67355874915643,-0.6127535015511748,-2.6880618770550986,-2.443465915934731,1.9301575520654382,0.7011213878018295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0103206745464836,-0.0029271084817024,0.0127345581314184,SPY
2008-01-18,-0.8349961114394011,-2.0521671858258417,-2.311491594091225,0.20614773465330247,-0.6878002872878344,-0.6228553442438519,-2.8905535548233416,-2.4889981516313626,1.347113895604331,1.416435516247421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0101985321528976,0.0237948343812677,0.0258632370829898,SPY
2008-01-22,-0.8254424978406547,-2.1484635968843575,-2.3984690465139717,0.17615447365179962,-0.7039202184957238,-0.6347028677856237,-3.05910214751954,-2.4997537392538276,2.1743759927612327,-0.7295068690893529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0237363748115946,0.0389352317494307,0.0390085472973931,SPY
2008-01-23,1.8288446757597425,-1.222926854679752,-3.1128548409547223,0.3036975964577461,-0.7116954033860869,-0.645749214102849,-2.0386838205492097,-1.7818156970961643,2.6898742102837447,-0.014192740643761682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084068034123507,0.0078138808528471,0.0069242313918982,SPY
2008-01-24,0.6298113386599941,0.7398062877462767,-1.3103479073872097,0.3106547281543656,-0.719978504325013,-0.6567723456385486,-1.5509840554433594,-1.5788338417991772,0.29338633371887374,0.7011213878018295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0145510800062664,0.01747713631124,0.0046562762512802,SPY
2008-01-25,-1.1658858045444902,1.8120456457694982,-0.6419184767257484,0.31750888531118776,-0.7326803473104292,-0.6695526297272849,-1.864855278540813,-1.4527311629084403,0.3636888728083375,1.416435516247421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0164012683164864,0.0479882107627887,0.0317372446735877,SPY
2008-01-28,1.255114530946599,-0.3944889168710578,-0.18312398657540696,0.42194616151713804,-0.7402398306213361,-0.6791745851402249,-1.102822425046227,-1.092366884906117,-0.1486015786411756,-1.4448209975349442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049418652152652,0.0188976801369991,0.0228077527928309,SPY
