date,Symbol,Open,High,Low,Close,PX,Volume,ret_1,ret_2,ret_5,vol_20,ma_10,ma_20,ma_gap,rsi_14,vol_z,dow,target_h1,target_h5,target_h20,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,has_news,pca_1_large,pca_2_large,pca_3_large,pca_4_large,pca_5_large,pca_6_large,pca_7_large,pca_8_large,pca_9_large,pca_10_large,pca_11_large,pca_12_large,pca_13_large,pca_14_large,has_news_large
2006-01-11,SPY,129.02000427246094,129.44000244140625,128.72999572753906,129.30999755859375,89.52875518798828,49598900,0.00317563007409305,0.0035746631882869195,0.017214985025591822,0.09439358211174625,88.08519439697265,87.77857780456543,0.019938547960067554,70.37437032908048,-0.4923323958735204,2,-0.003951566390294481,-0.007763352211672014,-0.022681838137334154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-01-12,SPY,129.0800018310547,129.27999877929688,128.44000244140625,128.8000030517578,89.17567443847656,40509200,-0.003951566390294481,0.004184473296266589,0.015665868717374742,0.09394200798665733,88.29636688232422,87.85339851379395,0.015050936526661562,65.64978166917558,-0.9206032565581721,3,-0.0009322101779609682,-0.022216955719930098,-0.016912640331250728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-01-13,SPY,128.57000732421875,128.89999389648438,128.1999969482422,128.67999267578125,89.09258270263672,44856700,-0.0009322101779609682,-0.000775936316201431,0.011086400065013713,0.0934137662992177,88.5380027770996,87.90684661865234,0.013488552138927412,61.973115934053546,-0.6794176352817856,4,-0.0027236271840660464,-0.017719173818331768,-0.017798061569078705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-01-17,SPY,128.1999969482422,128.4199981689453,127.80999755859376,128.3300018310547,88.85025787353516,52066600,-0.0027236271840660464,-0.004883776568255449,0.0018665166941245204,0.09332852696489652,88.80248489379883,87.96091957092285,0.010110607153160034,59.13818074061911,-0.2864284721146768,1,-0.0039822333951002875,-0.013967611209674047,-0.004529907082721607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-01-18,SPY,127.58000183105467,128.89999389648438,127.16000366210938,127.81999969482422,88.49713897705078,75067600,-0.0039822333951002875,-0.0036558373620270146,-0.0034229304560549068,0.09377977988546861,88.880029296875,88.01146087646484,0.005518350630125957,65.04493140711708,1.1755569697909052,2,0.0038262849357497686,-0.009116651777795859,0.002968563194908569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-01-19,SPY,128.1300048828125,128.77000427246094,127.80999755859376,128.30999755859375,88.8364028930664,81530400,0.0038262849357497686,-0.006705860579166334,-0.008414007073328733,0.09190006422211978,88.94995574951172,88.10146789550781,0.008341915465361671,65.9602503417811,1.654494064248204,3,-0.018405169898552565,-0.007431206763055975,0.006602872309596108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-01-20,SPY,128.27999877929688,128.30999755859375,125.97000122070312,125.97000122070312,87.21630859375,114957800,-0.018405169898552565,-0.00015594845935051893,-0.007763352211672014,0.11490669030000615,88.85233688354492,88.1063159942627,-0.010101516451677006,53.979944542770205,3.4142330083746444,4,0.003565571723637362,0.020195824627376346,0.02229463633424178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-01-23,SPY,126.20999908447266,126.81999969482422,126.12999725341795,126.41999816894533,87.52783966064453,67017400,0.003565571723637362,-0.014578884962802796,-0.022216955719930098,0.11546950862128827,88.71247634887695,88.11981773376465,-0.006717876731300754,59.97915851046681,0.6100053894748623,0,0.001027935424591675,0.015852657124207248,0.016241487715328518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-01-24,SPY,126.62999725341795,127.1500015258789,126.41999816894533,126.5500030517578,87.61785888671875,53008800,0.001027935424591675,-0.014839598174915203,-0.017719173818331768,0.11397716551787195,88.55877151489258,88.11496925354004,-0.005641610852645473,49.00149665453692,-0.19659607071378243,1,0.0008687260367779004,0.007478768267463742,0.02126562848058633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-01-25,SPY,127.04000091552734,127.18000030517578,125.83999633789062,126.66000366210938,87.69400787353516,87747700,0.0008687260367779004,0.004593507148229037,-0.013967611209674047,0.11400506656553903,88.40368270874023,88.11150512695312,-0.00473828307457036,45.44131682385001,1.829893537121494,2,0.005511729950489652,0.013566413028764934,0.018926221486455397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-01-26,SPY,127.25,127.66999816894533,126.76000213623048,127.36000061035156,88.1786880493164,71294000,0.005511729950489652,0.0018966614613695754,-0.009116651777795859,0.10892352809670795,88.26867599487305,88.17693519592285,1.9878819667029646e-05,49.86946864362776,0.8644860728464527,3,0.009221861491879757,-0.0036186590048998823,0.01596769181361868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-01-27,SPY,127.66000366210938,128.66000366210938,127.4499969482422,128.5399932861328,88.99562072753906,65771200,0.009221861491879757,0.006380455987267553,-0.007431206763055975,0.1129392222030103,88.2506706237793,88.27351875305176,0.008180278578306277,50.6437829187003,0.5572081515553834,4,-0.0007775957795317368,-0.017817364782668932,0.00713268341714457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-01-30,SPY,128.44000244140625,128.80999755859375,128.35000610351562,128.44000244140625,88.92644500732422,33709600,-0.0007775957795317368,0.01473359144236941,0.020195824627376346,0.11127799343563731,88.23405685424805,88.38602981567382,0.006114260282732653,47.80885647845296,-1.3018430700826193,0,-0.0073459534321518305,-0.014429736844199681,-0.0016366664248019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-01-31,SPY,128.32000732421875,128.5399932861328,127.48999786376952,127.5,88.27558898925781,72937000,-0.0073459534321518305,0.00844426571234802,0.015852657124207248,0.11299234115899606,88.17658996582031,88.48953742980957,-0.0024177823363746853,41.606536712854755,1.0060289755497738,1,0.006956370798079092,-0.01597012580774937,0.014560061837925353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-01,SPY,127.81999969482422,128.42999267578125,127.72000122070312,128.38999938964844,88.89180755615234,63561000,0.006956370798079092,-0.008123549211683567,0.007478768267463742,0.0981524683507835,88.21605682373047,88.54804306030273,0.003882237076831885,44.78470657024773,0.4866903600249169,2,-0.011673342083175164,-0.013882360591058962,0.0075267725855932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-02,SPY,128.10000610351562,128.13999938964844,126.8000030517578,126.9000015258789,87.86017608642578,83626900,-0.011673342083175164,-0.0003895826340727382,0.013566413028764934,0.1060897247132672,88.11843414306641,88.53419494628906,-0.007613090741630302,40.30595894685355,1.633122677970264,3,-0.0049768442858892925,-0.0038686201577062818,0.014550868775243586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-03,SPY,126.58000183105467,128.38999938964844,126.13999938964844,126.2699966430664,87.42399597167969,86040400,-0.0049768442858892925,-0.004716971285096072,-0.0036186590048998823,0.10739686766011604,88.13920288085937,88.49576988220215,-0.012111018548673247,38.31223313008021,1.6972606064397113,4,0.002610032158937514,0.002925855543971956,0.014935163126180484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-06,SPY,126.44000244140624,126.8000030517578,126.16999816894533,126.5999984741211,87.65247344970703,45511900,0.002610032158937514,-0.016650186369064457,-0.017817364782668932,0.10308330990175993,88.15166625976562,88.43207130432128,-0.008815781911648557,41.59370314842579,-0.6398022123842654,0,-0.008886342395701519,-0.0015018080307545034,0.010763376327588503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-07,SPY,126.37999725341795,126.66000366210938,125.4000015258789,125.4800033569336,86.87701416015625,71208100,-0.008886342395701519,-0.0023668121269517783,-0.014429736844199681,0.10620759917766757,88.07758178710938,88.31817665100098,-0.016317846965292815,39.2659608130964,0.8246400552669134,1,0.0090441360147695,0.017929061667238066,0.021757180940407572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-08,SPY,125.8499984741211,128.10000610351562,125.5999984741211,126.62000274658205,87.66630554199219,59422200,0.0090441360147695,-0.0062763102367640045,-0.01597012580774937,0.11218042855468227,88.07481155395507,88.23924713134765,-0.0064930471188474614,42.683870426077355,0.1698439662801246,2,-0.0016596016498224841,0.012401162534998456,0.005984270032203476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-09,SPY,126.91999816894533,127.5999984741211,126.37000274658205,126.41000366210938,87.52093505859375,62023300,-0.0016596016498224841,0.00015779361906798073,-0.013882360591058962,0.11116325663327224,88.00903625488282,88.13885612487793,-0.007010767934277351,52.33538593995657,0.2986634863213404,3,0.001817631415788945,0.021521358235258248,0.017098268929787608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-10,SPY,126.43000030517578,127.12999725341795,125.4499969482422,126.63999938964844,87.68016052246094,64508700,0.001817631415788945,0.007384534364947015,-0.0038686201577062818,0.11111016937173077,87.877490234375,88.06408042907715,-0.004359551644048665,51.195673655653174,0.4271648477769684,4,-0.001817631415788945,0.01699032094556241,0.01714540746948323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-13,SPY,126.5999984741211,126.79000091552734,125.9499969482422,126.41000366210938,87.52093505859375,52308700,-0.001817631415788945,0.0001580297659664609,0.002925855543971956,0.11116375860684612,87.73693923950195,87.985498046875,-0.005279994983193093,49.24735412746636,-0.27761988558895484,0,0.010544527302291051,0.016320375466075454,0.0293872935344055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-14,SPY,126.45999908447266,128.02999877929688,126.20999908447266,127.75,88.44868469238281,90964400,0.010544527302291051,0.0,-0.0015018080307545034,0.11802603876528688,87.75424880981446,87.96541938781738,0.005493810044090663,55.175773380899706,1.914154514490353,1,0.0035162368825298884,0.01182792435363389,0.02328864123728902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-15,SPY,127.68000030517578,128.32000732421875,127.23999786376952,128.1999969482422,88.76023864746094,85471300,0.0035162368825298884,0.008726895886502106,0.017929061667238066,0.117862483169203,87.74109191894532,87.97857437133788,0.008884711780209331,54.08544461535988,1.5378376308555148,2,0.007460594050437308,0.006841006513750969,0.021835029967083308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-16,SPY,128.33999633789062,129.2100067138672,128.17999267578125,129.16000366210938,89.42491912841797,61017900,0.007460594050437308,0.01406076418482094,0.012401162534998456,0.1200522863389576,87.89756622314454,88.00800018310547,0.016099887991597672,53.081784016062585,0.17308566279696355,3,-0.0027134058739068934,0.0019336127409665949,0.01520943862430002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-17,SPY,129.0500030517578,129.16000366210938,128.5800018310547,128.80999755859375,89.18260192871094,40342600,-0.0027134058739068934,0.010976830932967196,0.021521358235258248,0.09857278074546887,88.07342681884765,88.10631484985352,0.012215776822485092,51.79425901244411,-0.9812350380379263,4,-0.0024875768952759003,0.005033871710279136,0.016313498525993175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-21,SPY,129.11000061035156,129.39999389648438,128.2899932861328,128.49000549316406,88.96102905273438,46456300,-0.0024875768952759003,0.004747188176530415,0.01699032094556241,0.0989178394548845,88.20428237915038,88.177974319458,0.008880389227807095,55.108397509086195,-0.6180539816024945,1,0.006052076189849487,-0.00202549701592325,0.012493434491367417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-22,SPY,128.77000427246094,129.64999389648438,128.64999389648438,129.27000427246094,89.50106048583984,42326700,0.006052076189849487,-0.005200982769182794,0.016320375466075454,0.10065563204420044,88.46668701171875,88.27213439941406,0.01392201621482414,54.5927510726158,-0.8378092626039283,2,-0.0014706809573530322,0.0007732016248027662,0.012519037429989943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2006-02-23,SPY,129.27000427246094,129.63999938964844,128.27999877929688,129.0800018310547,89.3695297241211,43423200,-0.0014706809573530322,0.0035644992945735865,0.01182792435363389,0.10105734588811767,88.63700942993164,88.35591049194336,0.01147200256931491,63.16450002129381,-0.838780481654152,3,0.002553200277652934,0.0021669641279027374,0.01191675105825496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
