Price,Open,High,Low,Close,Adj Close,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,,
2005-09-21,184.25,184.5,175.0,181.70750427246094,121.74842071533203,6215320
2005-09-22,184.5,185.875,174.625,175.1824951171875,117.37644958496094,6482408
2005-09-23,175.0449981689453,178.72500610351562,175.0449981689453,176.5574951171875,118.29776763916016,3815824
2005-09-26,177.5,184.125,177.0,183.2375030517578,122.77352905273438,2290048
2005-09-27,184.375,185.125,180.78750610351562,182.78750610351562,122.47198486328125,6404008
2005-09-28,183.0,184.3625030517578,180.875,183.6875,123.07503509521484,5900064
2005-09-29,185.0,186.8000030517578,183.125,184.1074981689453,123.35638427734375,8421888
2005-09-30,185.0,186.47500610351562,183.03250122070312,185.2949981689453,124.1521224975586,4982976
2005-10-03,181.9250030517578,188.1125030517578,181.9250030517578,187.2375030517578,125.45360565185547,4472520
2005-10-04,187.47500610351562,187.75,185.41250610351562,186.22000122070312,124.7718505859375,6350472
2005-10-05,185.5,186.125,183.125,183.75,123.116943359375,6577720
2005-10-06,183.13250732421875,183.13250732421875,177.14500427246094,178.08250427246094,119.31958770751953,8233792
2005-10-07,178.125,181.75,176.89999389648438,180.60000610351562,121.00633239746094,6206624
2005-10-10,181.22500610351562,184.375,180.41250610351562,181.0625,121.31622314453125,5371728
2005-10-11,182.5,184.35000610351562,177.75,183.47000122070312,122.92935943603516,11565120
2005-10-13,183.75,185.625,178.7949981689453,180.16250610351562,120.71321105957031,13605792
2005-10-14,181.25,181.5,176.875,178.00750732421875,119.26932525634766,5226192
2005-10-17,178.75,180.25,177.9875030517578,179.27000427246094,120.1152572631836,4388816
2005-10-18,180.25,183.10000610351562,178.8874969482422,180.1199951171875,120.93769836425781,10941600
2005-10-19,182.4949951171875,182.5,171.52000427246094,175.1999969482422,117.63427734375,10058832
2005-10-20,176.8874969482422,179.375,173.88250732421875,177.0449981689453,118.87306213378906,6352952
2005-10-21,178.625,179.60000610351562,176.125,178.53250122070312,119.87183380126953,5923416
2005-10-24,179.02499389648438,180.5,175.13250732421875,175.9375,118.12942504882812,3149632
2005-10-25,177.2949981689453,181.375,176.0625,180.0,120.85716247558594,5420312
2005-10-26,180.0,180.625,177.3874969482422,177.78250122070312,119.36825561523438,4142808
2005-10-27,177.875,178.6125030517578,173.75,175.16250610351562,117.60906982421875,6771944
2005-10-28,176.125,176.125,169.375,170.27000427246094,114.32415008544922,4501496
2005-10-31,170.625,176.0,170.0449981689453,175.15750122070312,117.60578918457031,2851968
2005-11-02,175.16250610351562,179.5,173.5500030517578,178.625,119.93389892578125,2852888
2005-11-04,178.625,178.625,178.625,178.625,119.93389892578125,0
2005-11-07,176.0,183.46249389648438,176.0,183.09500122070312,122.93518829345703,4188480
2005-11-08,184.25,185.53250122070312,183.8000030517578,184.625,123.96248626708984,5782184
2005-11-09,184.625,185.38250732421875,181.28250122070312,182.10000610351562,122.2671127319336,5000792
2005-11-10,182.125,184.6125030517578,182.125,183.72000122070312,123.35484313964844,3095696
2005-11-11,183.125,186.0,183.125,185.33250427246094,124.4375991821289,5919888
2005-11-14,186.25,189.33250427246094,186.25,188.78750610351562,126.75731658935547,8040360
2005-11-16,188.90750122070312,189.625,187.78250122070312,188.96249389648438,126.8747787475586,6742576
2005-11-17,187.5,189.75,186.5574951171875,188.45750427246094,126.5357666015625,4878464
2005-11-18,189.0,191.375,189.0,190.8699951171875,128.15562438964844,8707720
2005-11-21,191.1750030517578,192.33749389648438,188.25,189.83250427246094,127.45893859863281,6597336
2005-11-22,189.25,190.60000610351562,186.0,187.4824981689453,125.8810806274414,4751000
2005-11-23,187.5,190.25,187.375,189.58250427246094,127.29109954833984,6054776
2005-11-24,189.5,191.64999389648438,189.5,190.53250122070312,127.92902374267578,4544088
2005-11-25,190.53250122070312,192.5,188.7949981689453,191.71249389648438,128.72129821777344,3344264
2005-11-28,192.35000610351562,193.75,192.0,193.45750427246094,129.8928680419922,2535248
2005-11-29,193.10000610351562,193.75,190.07000732421875,193.1699981689453,129.69981384277344,3303424
2005-11-30,191.5,194.0625,189.375,190.1374969482422,127.66376495361328,4023376
2005-12-01,190.0,194.33250427246094,189.84500122070312,193.7624969482422,130.09764099121094,4161968
2005-12-02,194.33250427246094,196.8000030517578,192.63250732421875,193.75,130.08926391601562,4784360
2005-12-05,194.0,194.2624969482422,190.78250122070312,191.4199981689453,128.52484130859375,1913080
2005-12-06,191.875,196.25,190.78750610351562,194.25,130.4249725341797,3233064
2005-12-07,195.25,200.0,195.03750610351562,199.44500732421875,133.9131317138672,5618952
2005-12-08,199.375,203.08749389648438,199.03250122070312,202.07000732421875,135.67552185058594,9585192
2005-12-09,202.25,211.8249969482422,201.41250610351562,210.33749389648438,141.2266082763672,6194224
2005-12-12,206.2949981689453,213.125,205.25,206.27499389648438,138.49887084960938,6191488
2005-12-13,206.5,209.75,205.625,208.4499969482422,139.95925903320312,6027072
2005-12-14,207.5,212.5,205.0,210.4875030517578,141.32728576660156,4819208
2005-12-15,211.2375030517578,212.3125,208.5500030517578,210.35000610351562,141.23500061035156,4249016
2005-12-16,211.25,215.75,210.375,214.3000030517578,143.88710021972656,7907432
2005-12-19,215.75,219.125,214.625,216.82000732421875,145.57907104492188,4701168
2005-12-20,218.75,218.75,210.875,211.6875,142.1330108642578,4628568
2005-12-21,213.125,214.3249969482422,208.875,210.7624969482422,141.51193237304688,3282432
2005-12-22,211.25,212.46249389648438,209.8699951171875,210.58749389648438,141.39447021484375,2519208
2005-12-23,210.875,213.125,208.125,208.97000122070312,140.30845642089844,2455032
2005-12-26,209.25,209.25,207.03250122070312,207.8625030517578,139.56478881835938,1625280
2005-12-27,207.84500122070312,212.875,205.375,212.27000427246094,142.5240936279297,1565208
2005-12-28,211.875,213.75,209.58250427246094,210.70750427246094,141.47500610351562,2582056
2005-12-29,211.25,214.9875030517578,210.20750427246094,213.75750732421875,143.52291870117188,3461784
2005-12-30,210.0,214.9875030517578,210.0,212.8574981689453,142.9185791015625,2380248
2006-01-02,213.5,213.8625030517578,210.1699981689453,210.9499969482422,141.63784790039062,1653504
2006-01-03,210.65750122070312,217.4949951171875,210.25,216.64999389648438,145.46499633789062,3396936
2006-01-04,217.5,218.7375030517578,215.27499389648438,217.8874969482422,146.29586791992188,3545616
2006-01-05,218.125,218.25,215.2375030517578,216.5449981689453,145.39450073242188,1431824
2006-01-06,216.875,217.4875030517578,211.5,213.1999969482422,143.14849853515625,2965744
2006-01-09,213.77000427246094,216.25,210.125,211.1199951171875,141.7520294189453,3883272
2006-01-10,211.25,212.47500610351562,207.625,209.0625,140.3705291748047,3972648
2006-01-12,206.625,211.125,201.875,209.21249389648438,140.47122192382812,13919696
2006-01-13,210.0,211.25,205.5,206.47000122070312,138.62989807128906,3608568
2006-01-16,206.375,206.375,200.32000732421875,201.09500122070312,135.02098083496094,4804912
2006-01-17,201.375,205.0,201.25,202.9250030517578,136.2496337890625,3753056
2006-01-18,202.27499389648438,202.97500610351562,200.2624969482422,202.44500732421875,136.1790313720703,3165120
2006-01-19,202.97500610351562,206.83749389648438,202.97500610351562,206.2949981689453,138.76885986328125,3574728
2006-01-20,206.875,208.7324981689453,204.375,205.5,138.234130859375,3294240
2006-01-23,204.375,204.375,201.41250610351562,202.77000427246094,136.39761352539062,2280272
2006-01-24,204.375,206.125,203.8000030517578,205.3249969482422,138.1162872314453,1890064
2006-01-25,206.125,207.4949951171875,205.4375,206.39999389648438,138.8394012451172,6365736
2006-01-27,210.0,210.0,206.3249969482422,207.39500427246094,139.5087432861328,3003816
2006-01-30,208.1750030517578,209.9499969482422,206.5124969482422,207.3625030517578,139.48690795898438,1383144
2006-01-31,209.9499969482422,209.9499969482422,206.5449981689453,208.8000030517578,140.45384216308594,1503160
2006-02-01,207.0,209.75,206.3000030517578,208.33250427246094,140.13937377929688,3896696
2006-02-02,208.75,209.5,203.70750427246094,204.60000610351562,137.62863159179688,3135736
2006-02-03,204.9875030517578,205.97500610351562,201.5500030517578,203.85000610351562,137.12413024902344,4357520
2006-02-06,203.7375030517578,210.375,203.2949981689453,209.88250732421875,141.18194580078125,2894976
2006-02-07,210.0,211.6875,205.53250122070312,209.2624969482422,140.76492309570312,7002784
2006-02-08,208.25,209.0124969482422,206.5449981689453,207.8125,139.78955078125,3332648
2006-02-10,208.77000427246094,209.75,205.63250732421875,208.6999969482422,140.38653564453125,2728200
2006-02-13,208.6999969482422,208.75,206.0,206.375,138.82261657714844,2020544
2006-02-14,208.75,208.75,201.75,202.32000732421875,136.09490966796875,6962064
2006-02-15,205.9875030517578,205.9875030517578,200.625,202.4199981689453,136.16220092773438,4209320
2006-02-16,203.125,204.97500610351562,201.5,203.64500427246094,136.98622131347656,5284488
2006-02-17,206.25,207.0500030517578,202.5,203.125,136.63644409179688,2923448
2006-02-20,204.875,206.875,203.4250030517578,206.2324981689453,138.7267608642578,2643608
2006-02-21,206.875,208.875,206.3874969482422,208.25,140.0839080810547,2301240
2006-02-22,208.75,208.75,206.41250610351562,207.7324981689453,139.7357940673828,1156592
2006-02-23,207.5,211.2375030517578,207.5,208.82000732421875,140.46725463867188,4141584
