Price,Open,High,Low,Close,Adj Close,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,,
2005-09-12,178.625,204.75,175.8125,178.77499389648438,120.23026275634766,6631072
2005-09-13,178.875,178.875,176.3249969482422,177.8000030517578,119.5745849609375,2244984
2005-09-14,177.5,178.375,173.375,175.02000427246094,117.70499420166016,3890080
2005-09-15,175.25,181.84500122070312,175.25,181.2375030517578,121.88636779785156,11040736
2005-09-16,181.84500122070312,184.71249389648438,179.52499389648438,182.1999969482422,122.53364562988281,5480184
2005-09-19,184.71249389648438,185.0,180.375,181.77000427246094,122.24456024169922,2877448
2005-09-20,181.875,185.0,177.5,183.8074951171875,123.61476135253906,6293424
2005-09-21,184.25,184.5,175.0,181.70750427246094,122.20247650146484,6215320
2005-09-22,184.5,185.875,174.625,175.1824951171875,117.81423950195312,6482408
2005-09-23,175.0449981689453,178.72500610351562,175.0449981689453,176.5574951171875,118.73896789550781,3815824
2005-09-26,177.5,184.125,177.0,183.2375030517578,123.23143005371094,2290048
2005-09-27,184.375,185.125,180.78750610351562,182.78750610351562,122.9288101196289,6404008
2005-09-28,183.0,184.3625030517578,180.875,183.6875,123.53408813476562,5900064
2005-09-29,185.0,186.8000030517578,183.125,184.1074981689453,123.8165283203125,8421888
2005-09-30,185.0,186.47500610351562,183.03250122070312,185.2949981689453,124.61512756347656,4982976
2005-10-03,181.9250030517578,188.1125030517578,181.9250030517578,187.2375030517578,125.92150115966797,4472520
2005-10-04,187.47500610351562,187.75,185.41250610351562,186.22000122070312,125.2372055053711,6350472
2005-10-05,185.5,186.125,183.125,183.75,123.57611846923828,6577720
2005-10-06,183.13250732421875,183.13250732421875,177.14500427246094,178.08250427246094,119.76460266113281,8233792
2005-10-07,178.125,181.75,176.89999389648438,180.60000610351562,121.45762634277344,6206624
2005-10-10,181.22500610351562,184.375,180.41250610351562,181.0625,121.76870727539062,5371728
2005-10-11,182.5,184.35000610351562,177.75,183.47000122070312,123.38777160644531,11565120
2005-10-13,183.75,185.625,178.7949981689453,180.16250610351562,121.1634750366211,13605792
2005-10-14,181.25,181.5,176.875,178.00750732421875,119.71419525146484,5226192
2005-10-17,178.75,180.25,177.9875030517578,179.27000427246094,120.56317901611328,4388816
2005-10-18,180.25,183.10000610351562,178.8874969482422,180.1199951171875,121.38874053955078,10941600
2005-10-19,182.4949951171875,182.5,171.52000427246094,175.1999969482422,118.07301330566406,10058832
2005-10-20,176.8874969482422,179.375,173.88250732421875,177.0449981689453,119.31646728515625,6352952
2005-10-21,178.625,179.60000610351562,176.125,178.53250122070312,120.31890106201172,5923416
2005-10-24,179.02499389648438,180.5,175.13250732421875,175.9375,118.57008361816406,3149632
2005-10-25,177.2949981689453,181.375,176.0625,180.0,121.30785369873047,5420312
2005-10-26,180.0,180.625,177.3874969482422,177.78250122070312,119.81346893310547,4142808
2005-10-27,177.875,178.6125030517578,173.75,175.16250610351562,118.04774475097656,6771944
2005-10-28,176.125,176.125,169.375,170.27000427246094,114.75053405761719,4501496
2005-10-31,170.625,176.0,170.0449981689453,175.15750122070312,118.04439544677734,2851968
2005-11-02,175.16250610351562,179.5,173.5500030517578,178.625,120.38127899169922,2852888
2005-11-04,178.625,178.625,178.625,178.625,120.38127899169922,0
2005-11-07,176.0,183.46249389648438,176.0,183.09500122070312,123.39373016357422,4188480
2005-11-08,184.25,185.53250122070312,183.8000030517578,184.625,124.42487335205078,5782184
2005-11-09,184.625,185.38250732421875,181.28250122070312,182.10000610351562,122.72313690185547,5000792
2005-11-10,182.125,184.6125030517578,182.125,183.72000122070312,123.81490325927734,3095696
2005-11-11,183.125,186.0,183.125,185.33250427246094,124.901611328125,5919888
2005-11-14,186.25,189.33250427246094,186.25,188.78750610351562,127.23013305664062,8040360
2005-11-16,188.90750122070312,189.625,187.78250122070312,188.96249389648438,127.34801483154297,6742576
2005-11-17,187.5,189.75,186.5574951171875,188.45750427246094,127.00770568847656,4878464
2005-11-18,189.0,191.375,189.0,190.8699951171875,128.63351440429688,8707720
2005-11-21,191.1750030517578,192.33749389648438,188.25,189.83250427246094,127.93427276611328,6597336
2005-11-22,189.25,190.60000610351562,186.0,187.4824981689453,126.35062408447266,4751000
2005-11-23,187.5,190.25,187.375,189.58250427246094,127.76583099365234,6054776
2005-11-24,189.5,191.64999389648438,189.5,190.53250122070312,128.4060516357422,4544088
2005-11-25,190.53250122070312,192.5,188.7949981689453,191.71249389648438,129.20132446289062,3344264
2005-11-28,192.35000610351562,193.75,192.0,193.45750427246094,130.37738037109375,2535248
2005-11-29,193.10000610351562,193.75,190.07000732421875,193.1699981689453,130.18360900878906,3303424
2005-11-30,191.5,194.0625,189.375,190.1374969482422,128.139892578125,4023376
2005-12-01,190.0,194.33250427246094,189.84500122070312,193.7624969482422,130.58291625976562,4161968
2005-12-02,194.33250427246094,196.8000030517578,192.63250732421875,193.75,130.57447814941406,4784360
2005-12-05,194.0,194.2624969482422,190.78250122070312,191.4199981689453,129.0041961669922,1913080
2005-12-06,191.875,196.25,190.78750610351562,194.25,130.91134643554688,3233064
2005-12-07,195.25,200.0,195.03750610351562,199.44500732421875,134.41259765625,5618952
2005-12-08,199.375,203.08749389648438,199.03250122070312,202.07000732421875,136.1815185546875,9585192
2005-12-09,202.25,211.8249969482422,201.41250610351562,210.33749389648438,141.75331115722656,6194224
2005-12-12,206.2949981689453,213.125,205.25,206.27499389648438,139.01551818847656,6191488
2005-12-13,206.5,209.75,205.625,208.4499969482422,140.48129272460938,6027072
2005-12-14,207.5,212.5,205.0,210.4875030517578,141.85440063476562,4819208
2005-12-15,211.2375030517578,212.3125,208.5500030517578,210.35000610351562,141.76174926757812,4249016
2005-12-16,211.25,215.75,210.375,214.3000030517578,144.4237518310547,7907432
2005-12-19,215.75,219.125,214.625,216.82000732421875,146.12213134765625,4701168
2005-12-20,218.75,218.75,210.875,211.6875,142.66314697265625,4628568
2005-12-21,213.125,214.3249969482422,208.875,210.7624969482422,142.0397491455078,3282432
2005-12-22,211.25,212.46249389648438,209.8699951171875,210.58749389648438,141.9218292236328,2519208
2005-12-23,210.875,213.125,208.125,208.97000122070312,140.8317413330078,2455032
2005-12-26,209.25,209.25,207.03250122070312,207.8625030517578,140.08541870117188,1625280
2005-12-27,207.84500122070312,212.875,205.375,212.27000427246094,143.05577087402344,1565208
2005-12-28,211.875,213.75,209.58250427246094,210.70750427246094,142.002685546875,2582056
2005-12-29,211.25,214.9875030517578,210.20750427246094,213.75750732421875,144.05819702148438,3461784
2005-12-30,210.0,214.9875030517578,210.0,212.8574981689453,143.45167541503906,2380248
2006-01-02,213.5,213.8625030517578,210.1699981689453,210.9499969482422,142.16612243652344,1653504
2006-01-03,210.65750122070312,217.4949951171875,210.25,216.64999389648438,146.00750732421875,3396936
2006-01-04,217.5,218.7375030517578,215.27499389648438,217.8874969482422,146.84152221679688,3545616
2006-01-05,218.125,218.25,215.2375030517578,216.5449981689453,145.93678283691406,1431824
2006-01-06,216.875,217.4875030517578,211.5,213.1999969482422,143.6824493408203,2965744
2006-01-09,213.77000427246094,216.25,210.125,211.1199951171875,142.28076171875,3883272
2006-01-10,211.25,212.47500610351562,207.625,209.0625,140.8940887451172,3972648
2006-01-12,206.625,211.125,201.875,209.21249389648438,140.99514770507812,13919696
2006-01-13,210.0,211.25,205.5,206.47000122070312,139.14686584472656,3608568
2006-01-16,206.375,206.375,200.32000732421875,201.09500122070312,135.5245361328125,4804912
2006-01-17,201.375,205.0,201.25,202.9250030517578,136.75782775878906,3753056
2006-01-18,202.27499389648438,202.97500610351562,200.2624969482422,202.44500732421875,136.68690490722656,3165120
2006-01-19,202.97500610351562,206.83749389648438,202.97500610351562,206.2949981689453,139.2863311767578,3574728
2006-01-20,206.875,208.7324981689453,204.375,205.5,138.74954223632812,3294240
2006-01-23,204.375,204.375,201.41250610351562,202.77000427246094,136.9062957763672,2280272
2006-01-24,204.375,206.125,203.8000030517578,205.3249969482422,138.63145446777344,1890064
2006-01-25,206.125,207.4949951171875,205.4375,206.39999389648438,139.3572540283203,6365736
2006-01-27,210.0,210.0,206.3249969482422,207.39500427246094,140.02908325195312,3003816
2006-01-30,208.1750030517578,209.9499969482422,206.5124969482422,207.3625030517578,140.0071258544922,1383144
2006-01-31,209.9499969482422,209.9499969482422,206.5449981689453,208.8000030517578,140.97763061523438,1503160
2006-02-01,207.0,209.75,206.3000030517578,208.33250427246094,140.66201782226562,3896696
2006-02-02,208.75,209.5,203.70750427246094,204.60000610351562,138.14195251464844,3135736
2006-02-03,204.9875030517578,205.97500610351562,201.5500030517578,203.85000610351562,137.6355438232422,4357520
2006-02-06,203.7375030517578,210.375,203.2949981689453,209.88250732421875,141.7085723876953,2894976
2006-02-07,210.0,211.6875,205.53250122070312,209.2624969482422,141.28990173339844,7002784
2006-02-08,208.25,209.0124969482422,206.5449981689453,207.8125,140.31094360351562,3332648
2006-02-10,208.77000427246094,209.75,205.63250732421875,208.6999969482422,140.91017150878906,2728200
2006-02-13,208.6999969482422,208.75,206.0,206.375,139.34030151367188,2020544
2006-02-14,208.75,208.75,201.75,202.32000732421875,136.60250854492188,6962064
